experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,2.0,54.45131592801126,58.98290572964816,57.0,61
sane_random,sane_random,3.0,53.40644502376266,36.37067857180666,60.0,61
sane_random,sane_random,4.0,-10.086101799355138,76.37820202844323,56.0,61
sane_random,sane_random,1.0,0.7524268512961118,59.72566179486818,71.0,62
sane_random,sane_random,2.0,122.00411186762575,88.6812459189405,56.0,62
sane_random,sane_random,3.0,40.16515298628192,85.34186566897824,62.0,62
sane_random,sane_random,4.0,14.319228737433871,136.09452075571596,58.0,62
sane_random,sane_random,1.0,71.66500706182141,47.69060755560932,60.0,63
sane_random,sane_random,2.0,67.22232199632784,118.72779643942715,64.0,63
sane_random,sane_random,3.0,42.681244468319406,35.46821999003728,60.0,63
sane_random,sane_random,4.0,86.71204839676918,131.67441545897634,58.0,63
sane_random,sane_random,1.0,62.442380668103596,33.96649396638743,60.0,64
sane_random,sane_random,2.0,78.24055121844951,23.809364263266037,59.0,64
sane_random,sane_random,3.0,8.988211149447533,52.24714518218035,69.0,64
sane_random,sane_random,4.0,36.492322586722565,68.44113961545132,66.0,64
sane_random,sane_random,1.0,22.257864208806716,35.505494009552464,60.0,65
sane_random,sane_random,2.0,124.49915074933332,141.9973607170128,60.0,65
sane_random,sane_random,3.0,38.26973309370959,19.296618612138246,55.0,65
sane_random,sane_random,4.0,-1.296668784570502,77.59901754076198,67.0,65
sane_random,sane_random,1.0,65.36161151785426,35.89445025111054,58.0,66
sane_random,sane_random,2.0,42.61065250911366,23.82816326376203,55.0,66
sane_random,sane_random,3.0,46.43753923433761,29.91343571912343,56.0,66
sane_random,sane_random,4.0,-26.961162534690143,94.78198790524372,59.0,66
sane_random,sane_random,1.0,26.61166227411546,132.44731009679538,58.0,67
sane_random,sane_random,2.0,-4.50483338982966,65.70252140753558,66.0,67
sane_random,sane_random,3.0,-4.838878208606734,79.23538225051749,71.0,67
